,date,2772803,2772804,2772805,2772806,2772807,2772808,2772809,2772810,2772811,2772812,2772813,2772814,2772815,2772816,2772817,2772818,2772819,2772820,2772821,2772822,2772859,2772860,2772861,2772862,2772863,2772864,2772865,2772866,2772867,2772868,2772869,2772870,2772871,2772872,2772873,2772874,2772875,2772876,2772877,2772878,2772879,2772914,2772915,2772916,2772917,2772918,2772919,2772920,2772921,2772922,2772923,2772924,2772925,2772926,2772927,2772928,2772929,2772930,2772931,2772932,2772933,2772934,2772980,2772981,2772982
30,2020-06-29,63.0,63.0,63.0,110.0,199.0,205.0,38.0,0.0,0.0,17.0,15.4,203.55555555555554,0.8333333333333334,62.0,42.0,-59.0,42.0,15.0,-2.0,3.0,56.0,3.0,56.0,74.0,76.0,78.0,198.0,118.0,42.0,33.0,-18.0,39.0,42.0,79.0,-79.0,62.0,17.5,28.0,78.0,58.0,39.0,78.0,5.0,4.0,3.0,3.0,-22.0,-100.0,-100.0,65.0,248.5,-15.0,2.0,-0.5,42.0,57.5,57.5,42.0,39.0,42.0,42.0,3.0,3.0,64.0,39.0
31,2020-06-30,18.0,18.0,18.0,-218.0,-99.0,-99.0,39.0,0.0,0.0,75.0,-24.2,-97.22222222222221,0.0,0.0,-49.0,-58.0,42.0,-61.0,75.0,85.0,55.0,85.0,55.0,60.0,76.0,78.0,-29.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,15.5,31.0,-43.0,63.0,-43.0,-43.0,87.0,-3.0,85.0,85.0,31.0,95.0,116.0,-35.0,88.5,-68.0,91.0,-13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,35.25,0.0
32,2020-07-01,62.0,62.0,62.0,-121.0,-204.0,-204.0,-204.0,0.0,0.0,26.0,2.6,120.0,-78.0,63.0,-84.0,69.0,38.0,37.0,-75.0,-75.0,-26.0,-75.0,-26.0,83.0,81.0,79.0,13.0,-118.0,0.0,35.0,-7.7,0.0,40.0,80.66666666666667,105.0,63.0,0.0,0.0,82.0,63.0,38.0,82.0,-73.0,4.0,-75.0,-75.0,-26.0,-5.0,5.0,120.0,-67.0,299.0,6.0,165.5,40.0,0.0,0.0,0.0,38.0,40.0,40.0,-75.0,-75.0,30.0,0.0
33,2020-07-02,91.0,91.0,91.0,95.0,0.0,0.0,0.0,0.0,0.0,29.0,-38.8,-86.1,27.75,-58.0,-93.0,-59.0,43.0,43.0,-2.0,2.0,-27.0,2.0,-27.0,0.0,-124.0,-132.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,-58.0,0.0,0.0,-43.0,-59.0,-43.0,-43.0,10.0,7.0,2.0,2.0,-27.0,103.0,7.0,-29.0,-149.5,-69.0,-72.0,-22.0,0.0,-38.0,-38.0,0.0,0.0,0.0,0.0,2.0,2.0,11.333333333333334,0.0
34,2020-07-03,60.0,60.0,60.0,0.0,116.0,116.0,42.0,0.0,0.0,72.0,81.4,168.0,168.0,62.0,41.0,68.0,-50.0,37.0,-82.0,-82.0,-31.0,-80.0,-31.0,-1.0,16.0,14.0,-152.0,40.0,0.0,34.0,-23.6,0.0,0.0,25.0,14.0,62.0,0.0,0.0,83.0,58.0,42.0,83.0,-76.0,4.0,-82.0,-82.0,-25.0,-111.0,-111.0,-13.0,21.0,-31.0,-51.0,138.0,41.0,0.0,0.0,0.0,39.0,41.0,41.0,-82.0,-82.0,34.5,0.0
35,2020-07-06,-43.0,-43.0,-43.0,0.0,-48.0,-48.0,42.0,0.0,0.0,81.0,-35.4,-67.5,-67.5,0.0,-51.0,0.0,39.0,38.0,-3.0,1.0,-27.0,1.0,-27.0,0.0,16.0,14.0,-53.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-43.0,-62.0,38.0,-43.0,8.0,4.0,1.0,1.0,-27.0,97.0,116.0,-19.0,76.5,-6.0,-52.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
36,2020-07-07,93.0,93.0,93.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,14.0,-114.6,100.625,64.8,0.0,-111.0,-58.0,37.0,-92.0,-6.0,83.0,-27.0,83.0,2.0,42.0,27.0,29.0,-115.0,-118.0,40.0,33.0,0.0,42.0,40.0,-2.0,67.0,0.0,15.5,31.0,-38.0,58.0,42.0,-38.0,81.0,5.0,83.0,83.0,-29.0,-10.0,0.0,16.0,59.0,-93.0,-28.0,-18.0,11.0,41.0,41.0,40.0,38.0,40.0,40.0,83.0,83.0,87.0,42.0
37,2020-07-09,85.0,85.0,85.0,37.0,202.0,166.0,56.0,0.0,0.0,37.0,-70.6,56.57142857142858,56.57142857142858,62.0,76.0,-58.0,40.0,43.0,-83.0,-83.0,-30.0,-81.0,-30.0,-29.0,-31.0,-1.0,-294.0,0.0,-19.0,-25.0,-15.8,-19.0,-19.0,-25.666666666666668,53.0,62.0,17.0,32.0,-38.0,-58.0,-38.0,-38.0,-77.0,-80.0,-83.0,-83.0,-30.0,-104.0,-104.0,-27.0,173.0,-31.0,8.0,92.0,-19.0,-31.0,-31.0,-40.0,-15.0,-19.0,-19.0,-83.0,-83.0,91.66666666666667,-19.0
38,2020-07-10,92.0,92.0,92.0,56.0,198.0,278.0,39.0,0.0,0.0,83.0,46.0,123.0,45.0,0.0,32.0,-59.0,38.0,-48.0,-1.0,85.0,56.0,85.0,56.0,0.0,1.0,-1.0,2.0,48.0,0.0,0.0,-3.7,0.0,0.0,0.0,104.0,0.0,0.0,0.0,-38.0,63.0,37.0,83.0,83.0,78.0,85.0,85.0,29.0,94.0,-108.0,73.0,-152.0,168.0,79.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,90.0,0.0
39,2020-07-14,79.0,79.0,79.0,129.0,198.0,287.0,39.0,0.0,0.0,83.0,-58.8,103.25,41.0,0.0,-34.0,69.0,43.0,42.0,75.0,84.0,55.0,84.0,55.0,77.0,75.0,78.0,-96.0,62.0,40.0,35.0,0.0,38.0,40.0,-15.0,0.0,0.0,15.5,29.0,79.0,58.0,38.0,79.0,82.0,-81.0,84.0,84.0,113.0,97.0,119.0,-28.0,-147.5,-47.0,83.0,-11.0,40.0,55.0,55.0,40.0,38.0,40.0,40.0,84.0,84.0,143.5,38.0
